paper_id,track,year,venue,is_disclosed,is_strict,is_lb1_gfimp,paper_gpu_num_total,paper_max_row_compute_capability,paper_max_row_compute_capability_gfimp_lb1,team_size,cited_by_count,openalex_field_normalized_percentile,primary_topic,n_organizations
2020.findings-emnlp.167,findings,2020,emnlp,1,0,1,1,,11340000000000,5,42,0.95180016999999995,"Syntax: Tagging, Chunking and Parsing",3
2020.findings-emnlp.17,findings,2020,emnlp,1,1,1,8,896000000000000,896000000000000,7,157,0.99438104999999999,Dialogue and Interactive Systems,1
2020.findings-emnlp.171,findings,2020,emnlp,1,0,1,,,312000000000000,7,51,0.97050996,Question Answering,2
2020.findings-emnlp.175,findings,2020,emnlp,1,0,1,2,,12150000000000,4,4,0.65540339999999997,Interpretability and Analysis of Models for NLP,1
2020.findings-emnlp.176,findings,2020,emnlp,1,0,1,2,,22680000000000,4,34,0.89702926000000005,"Multimodality and Language Grounding to Vision, Robotics and Beyond",1
2020.findings-emnlp.177,findings,2020,emnlp,1,0,1,1,,11340000000000,6,3,0.70690328000000002,Semantics: Lexical and Sentence-Level,1
2020.findings-emnlp.182,findings,2020,emnlp,1,0,1,1,,11340000000000,3,7,0.77444533999999998,Machine Translation,2
2020.findings-emnlp.183,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,6,5,0.74558186000000004,Dialogue and Interactive Systems,2
2020.findings-emnlp.185,findings,2020,emnlp,1,1,1,1,113800000000000,113800000000000,5,7,0.79715451999999998,Efficient Methods for NLP,2
2020.findings-emnlp.189,findings,2020,emnlp,1,0,1,1,,12150000000000,2,0,0.17864007000000001,Interpretability and Analysis of Models for NLP,1
2020.findings-emnlp.190,findings,2020,emnlp,1,0,1,1,,11340000000000,7,50,0.96635488000000003,Generation,2
2020.findings-emnlp.191,findings,2020,emnlp,1,1,1,2,110000000000000,110000000000000,9,3,0.64784900000000001,Resources and Evaluation,0
2020.findings-emnlp.192,findings,2020,emnlp,1,1,1,1,113800000000000,113800000000000,5,6,0.77390404999999995,Dialogue and Interactive Systems,1
2020.findings-emnlp.193,findings,2020,emnlp,1,0,1,1,,11760000000000,2,4,0.70751744000000005,"Syntax: Tagging, Chunking and Parsing",2
2020.findings-emnlp.196,findings,2020,emnlp,1,1,1,24,1566000000000000,1566000000000000,6,38,0.95365922999999997,Dialogue and Interactive Systems,1
2020.findings-emnlp.197,findings,2020,emnlp,1,0,1,8,,76208000000000,6,4,0.70716361999999999,Machine Translation,1
2020.findings-emnlp.198,findings,2020,emnlp,1,0,1,1,,11760000000000,5,4,0.70811818999999998,Interpretability and Analysis of Models for NLP,1
2020.findings-emnlp.201,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,2,2,0.65620637000000004,Question Answering,1
2020.findings-emnlp.202,findings,2020,emnlp,1,0,1,,,112000000000000,10,23,0.90362589000000004,Generation,2
2020.findings-emnlp.203,findings,2020,emnlp,1,0,1,1,,11340000000000,3,96,0.98511736999999999,Summarization,0
2020.findings-emnlp.205,findings,2020,emnlp,1,1,1,4,448000000000000,448000000000000,2,1,0.14516374000000001,Machine Translation,2
2020.findings-emnlp.207,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,7,88,0.98073069999999996,Machine Learning for NLP,3
2020.findings-emnlp.211,findings,2020,emnlp,1,0,1,1,,9526000000000,6,110,0.98625549000000001,Information Extraction,3
2020.findings-emnlp.212,findings,2020,emnlp,1,1,1,1,113800000000000,113800000000000,2,29,0.93637828999999995,Generation,1
2020.findings-emnlp.215,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,7,7,0.73230337000000001,Dialogue and Interactive Systems,1
2020.findings-emnlp.217,findings,2020,emnlp,1,1,1,16,1792000000000000,1792000000000000,8,340,0.99832171999999997,Generation,4
2020.findings-emnlp.219,findings,2020,emnlp,1,0,1,1,,11340000000000,5,5,0.76374134000000005,Dialogue and Interactive Systems,1
2020.findings-emnlp.220,findings,2020,emnlp,1,1,1,3,336000000000000,336000000000000,1,4,0.71896163000000002,NLP Applications,1
2020.findings-emnlp.221,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,3,0,0.13219491999999999,Dialogue and Interactive Systems,2
2020.findings-emnlp.222,findings,2020,emnlp,1,0,1,,,8873000000000,4,9,0.84509241999999996,Discourse and Pragmatics,2
2020.findings-emnlp.223,findings,2020,emnlp,1,1,1,4,448000000000000,448000000000000,2,1,0.55441680999999998,Machine Translation,2
2020.findings-emnlp.225,findings,2020,emnlp,1,0,1,8,,70984000000000,5,2,0.64764772999999998,"Syntax: Tagging, Chunking and Parsing",3
2020.findings-emnlp.23,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,8,2,0.63596374,Information Extraction,4
2020.findings-emnlp.230,findings,2020,emnlp,1,0,1,1,,11340000000000,4,33,0.94110293,Machine Translation,3
2020.findings-emnlp.232,findings,2020,emnlp,1,1,1,1025,1.14688e+17,114688000000000000,6,149,0.99082011000000003,Efficient Methods for NLP,2
2020.findings-emnlp.233,findings,2020,emnlp,1,1,1,2,261000000000000,261000000000000,3,4,0.62209203000000002,Information Retrieval and Text Mining,1
2020.findings-emnlp.236,findings,2020,emnlp,1,0,1,1,,14900000000000,7,7,0.79781800999999997,Machine Learning for NLP,2
2020.findings-emnlp.237,findings,2020,emnlp,1,0,1,2,,22680000000000,5,9,0.83169484000000005,Discourse and Pragmatics,6
2020.findings-emnlp.239,findings,2020,emnlp,1,1,1,4,448000000000000,448000000000000,5,6,0.76255757000000002,Dialogue and Interactive Systems,3
2020.findings-emnlp.24,findings,2020,emnlp,1,0,1,,,8126000000000,4,43,0.95346397999999999,Interpretability and Analysis of Models for NLP,2
2020.findings-emnlp.245,findings,2020,emnlp,1,0,1,1,,11340000000000,3,4,0.61902506999999996,"Syntax: Tagging, Chunking and Parsing",1
2020.findings-emnlp.247,findings,2020,emnlp,1,0,1,2,,29800000000000,10,0,0.11715784999999999,Dialogue and Interactive Systems,4
2020.findings-emnlp.249,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,3,20,0.91376404,Information Retrieval and Text Mining,1
2020.findings-emnlp.25,findings,2020,emnlp,1,0,1,1,,6691000000000,6,49,0.89917833999999996,NLP and Symbolic Reasoning,2
2020.findings-emnlp.250,findings,2020,emnlp,1,1,1,9,896000000000000,896000000000000,5,8,0.79681272000000003,Efficient Methods for NLP,2
2020.findings-emnlp.251,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,6,13,0.82580207000000005,Machine Translation,1
2020.findings-emnlp.253,findings,2020,emnlp,1,0,1,,,110000000000000,6,3,0.50380725999999998,"Multimodality and Language Grounding to Vision, Robotics and Beyond",2
2020.findings-emnlp.257,findings,2020,emnlp,1,0,1,,,112000000000000,2,2,0.42177725999999999,Question Answering,3
2020.findings-emnlp.258,findings,2020,emnlp,1,0,1,,,9526000000000,2,3,0.70777824,Efficient Methods for NLP,1
2020.findings-emnlp.261,findings,2020,emnlp,1,1,1,1,113800000000000,113800000000000,5,18,0.97306674999999998,NLP Applications,3
2020.findings-emnlp.267,findings,2020,emnlp,1,0,1,,,312000000000000,2,0,0.12908227999999999,Discourse and Pragmatics,1
2020.findings-emnlp.269,findings,2020,emnlp,1,1,1,1,113800000000000,113800000000000,4,15,0.87914035000000001,Efficient Methods for NLP,3
2020.findings-emnlp.270,findings,2020,emnlp,1,0,1,1,,6691000000000,6,3,0.70806937000000003,"Syntax: Tagging, Chunking and Parsing",1
2020.findings-emnlp.271,findings,2020,emnlp,1,0,1,,,112000000000000,5,7,0.79739866999999998,Efficient Methods for NLP,1
2020.findings-emnlp.272,findings,2020,emnlp,1,1,1,4,455200000000000,455200000000000,3,11,0.74676257000000001,"Ethics, Bias, and Fairness",3
2020.findings-emnlp.273,findings,2020,emnlp,1,0,1,1,,9526000000000,3,5,0.77391726000000005,Dialogue and Interactive Systems,1
2020.findings-emnlp.276,findings,2020,emnlp,1,1,1,1,113800000000000,113800000000000,4,1,0.56371740999999997,Machine Translation,2
2020.findings-emnlp.278,findings,2020,emnlp,1,0,1,1,,11340000000000,4,1,0.56016160999999998,Efficient Methods for NLP,4
2020.findings-emnlp.280,findings,2020,emnlp,1,1,1,1,130500000000000,130500000000000,6,19,0.89708255000000003,"Ethics, Bias, and Fairness",1
2020.findings-emnlp.281,findings,2020,emnlp,1,0,1,1,,11340000000000,2,3,0.70740950000000002,Discourse and Pragmatics,1
2020.findings-emnlp.283,findings,2020,emnlp,1,1,1,8,896000000000000,896000000000000,4,6,0.78043490000000004,Machine Translation,1
2020.findings-emnlp.286,findings,2020,emnlp,1,1,1,32,1792000000000000,1792000000000000,7,37,0.92939483000000001,Efficient Methods for NLP,5
2020.findings-emnlp.291,findings,2020,emnlp,1,1,1,1,113800000000000,113800000000000,4,87,0.98511976000000001,"Ethics, Bias, and Fairness",0
2020.findings-emnlp.292,findings,2020,emnlp,1,0,1,84,,762080000000000,3,32,0.94809717999999998,Language Modeling,2
2020.findings-emnlp.298,findings,2020,emnlp,1,1,1,8,896000000000000,896000000000000,4,106,0.98263851000000002,Interpretability and Analysis of Models for NLP,1
2020.findings-emnlp.299,findings,2020,emnlp,1,0,1,1,,11760000000000,5,14,0.84517892999999999,Generation,2
2020.findings-emnlp.30,findings,2020,emnlp,1,1,1,8,896000000000000,896000000000000,6,39,0.95176400000000005,NLP Applications,3
2020.findings-emnlp.300,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,5,3,0.67716487000000003,Interpretability and Analysis of Models for NLP,2
2020.findings-emnlp.304,findings,2020,emnlp,1,0,1,1,,6691000000000,2,9,0.80947435000000001,Information Retrieval and Text Mining,1
2020.findings-emnlp.305,findings,2020,emnlp,1,0,1,2,,14900000000000,3,13,0.87578281999999996,Machine Learning for NLP,1
2020.findings-emnlp.307,findings,2020,emnlp,1,0,1,8,,90720000000000,2,3,0.67753143999999998,Question Answering,1
2020.findings-emnlp.309,findings,2020,emnlp,1,1,1,4,448000000000000,448000000000000,6,96,0.97635327999999999,Resources and Evaluation,2
2020.findings-emnlp.310,findings,2020,emnlp,1,0,1,1,,6691000000000,5,54,0.96120271999999995,Dialogue and Interactive Systems,3
2020.findings-emnlp.317,findings,2020,emnlp,1,0,1,,,130500000000000,3,10,0.83186532000000002,Question Answering,1
2020.findings-emnlp.32,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,2,2,0.64073243999999996,Information Extraction,1
2020.findings-emnlp.320,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,4,2,0.65689677999999996,"Syntax: Tagging, Chunking and Parsing",1
2020.findings-emnlp.321,findings,2020,emnlp,1,0,1,1,,14900000000000,3,7,0.81605503999999995,Dialogue and Interactive Systems,2
2020.findings-emnlp.322,findings,2020,emnlp,1,0,1,,,112000000000000,2,1,0.13053007999999999,Summarization,1
2020.findings-emnlp.323,findings,2020,emnlp,1,1,1,1,130500000000000,130500000000000,3,1,0.55524923000000004,Multilingualism and Cross-Lingual NLP,1
2020.findings-emnlp.324,findings,2020,emnlp,1,1,1,16,1792000000000000,1792000000000000,3,22,0.79607753000000003,Dialogue and Interactive Systems,1
2020.findings-emnlp.327,findings,2020,emnlp,1,0,1,8,,90720000000000,4,13,0.85676772000000001,Machine Translation,3
2020.findings-emnlp.33,findings,2020,emnlp,1,0,1,1,,12150000000000,4,9,0.81588996000000003,Generation,2
2020.findings-emnlp.330,findings,2020,emnlp,1,0,1,1,,8126000000000,4,4,0.74480782999999995,Information Extraction,2
2020.findings-emnlp.331,findings,2020,emnlp,1,1,1,1,130500000000000,130500000000000,4,6,0.74530697000000001,Information Extraction,2
2020.findings-emnlp.332,findings,2020,emnlp,1,0,1,,,8873000000000,5,27,0.94114200999999997,Clinical and Biomedical Applications,1
2020.findings-emnlp.333,findings,2020,emnlp,1,0,1,2,,22680000000000,2,1,0.52035619,Interpretability and Analysis of Models for NLP,1
2020.findings-emnlp.334,findings,2020,emnlp,1,1,1,1,107000000000000,107000000000000,6,45,0.95308645999999997,Machine Learning for NLP,2
2020.findings-emnlp.335,findings,2020,emnlp,1,0,1,1,,12150000000000,4,5,0.76191931000000002,Summarization,2
2020.findings-emnlp.336,findings,2020,emnlp,1,0,1,2,,13382000000000,2,6,0.77387744999999997,Clinical and Biomedical Applications,2
2020.findings-emnlp.340,findings,2020,emnlp,1,0,1,,,130500000000000,8,3,0.70006038000000004,Discourse and Pragmatics,2
2020.findings-emnlp.342,findings,2020,emnlp,1,0,1,1,,8126000000000,5,55,0.96144666999999995,Question Answering,3
2020.findings-emnlp.343,findings,2020,emnlp,1,0,1,,,113800000000000,4,10,0.85657963999999998,Interpretability and Analysis of Models for NLP,1
2020.findings-emnlp.346,findings,2020,emnlp,1,0,1,,,6691000000000,8,24,0.92624985000000004,"Speech Recognition, Text-to-Speech and Spoken Language Understanding",2
2020.findings-emnlp.347,findings,2020,emnlp,1,0,1,1,,8126000000000,5,1,0.55540197000000002,Dialogue and Interactive Systems,1
2020.findings-emnlp.348,findings,2020,emnlp,1,0,1,,,113800000000000,5,15,0.84057515000000005,"Multimodality and Language Grounding to Vision, Robotics and Beyond",1
2020.findings-emnlp.352,findings,2020,emnlp,1,0,1,,,112000000000000,2,17,0.86029036000000003,Machine Translation,1
2020.findings-emnlp.356,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,7,4,0.74542995000000001,Information Extraction,4
2020.findings-emnlp.360,findings,2020,emnlp,1,1,1,4,448000000000000,448000000000000,4,7,0.76345432999999996,Summarization,2
2020.findings-emnlp.362,findings,2020,emnlp,1,1,1,32,3584000000000000,3584000000000000,2,1,0.56230508000000001,Efficient Methods for NLP,2
2020.findings-emnlp.365,findings,2020,emnlp,1,0,1,1,,8873000000000,6,9,0.91927992999999997,Computational Social Science and Cultural Analytics,2
2020.findings-emnlp.37,findings,2020,emnlp,1,1,1,20,1138000000000000,1138000000000000,3,6,0.79703793999999994,NLP Applications,2
2020.findings-emnlp.370,findings,2020,emnlp,1,0,1,4,,47040000000000,5,12,0.87546749000000001,Question Answering,2
2020.findings-emnlp.372,findings,2020,emnlp,1,0,1,1,,8126000000000,8,1643,0.99980941999999995,Efficient Methods for NLP,3
2020.findings-emnlp.377,findings,2020,emnlp,1,0,1,,,312000000000000,5,6,0.77430065999999997,Machine Translation,2
2020.findings-emnlp.379,findings,2020,emnlp,1,0,1,,,130500000000000,4,28,0.83152543000000001,Machine Translation,1
2020.findings-emnlp.381,findings,2020,emnlp,1,0,1,4,,50520000000000,5,23,0.91380021,Machine Translation,3
2020.findings-emnlp.387,findings,2020,emnlp,1,1,1,8,896000000000000,896000000000000,3,1,0.55887198000000005,Resources and Evaluation,3
2020.findings-emnlp.39,findings,2020,emnlp,1,1,1,64,7168000000000000,7168000000000000,5,52,0.95514949000000005,Resources and Evaluation,1
2020.findings-emnlp.390,findings,2020,emnlp,1,1,1,1,130500000000000,130500000000000,4,56,0.96961149999999996,Interpretability and Analysis of Models for NLP,1
2020.findings-emnlp.391,findings,2020,emnlp,1,1,1,8,2496000000000000,2496000000000000,2,10,0.84480277000000004,"Phonology, Morphology, and Word Segmentation",2
2020.findings-emnlp.392,findings,2020,emnlp,1,0,1,2,,16252000000000,5,3,0.50885321999999999,Question Answering,2
2020.findings-emnlp.393,findings,2020,emnlp,1,1,1,4,261000000000000,261000000000000,3,39,0.9293979,NLP Applications,1
2020.findings-emnlp.394,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,3,3,0.69247687999999996,Efficient Methods for NLP,1
2020.findings-emnlp.396,findings,2020,emnlp,1,1,1,1,125000000000000,125000000000000,2,7,0.86219564999999998,Dialogue and Interactive Systems,1
2020.findings-emnlp.398,findings,2020,emnlp,1,0,1,1,,11340000000000,3,34,0.94980359999999997,"Syntax: Tagging, Chunking and Parsing",1
2020.findings-emnlp.399,findings,2020,emnlp,1,0,1,32,,362880000000000,4,42,0.96279577999999999,"Syntax: Tagging, Chunking and Parsing",1
2020.findings-emnlp.4,findings,2020,emnlp,1,0,1,1,,5046000000000,3,3,0.55146896000000001,Semantics: Lexical and Sentence-Level,1
2020.findings-emnlp.402,findings,2020,emnlp,1,1,1,4,522000000000000,522000000000000,5,41,0.95641047999999995,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",2
2020.findings-emnlp.405,findings,2020,emnlp,1,0,1,,,130500000000000,4,6,0.75278555999999996,Semantics: Lexical and Sentence-Level,3
2020.findings-emnlp.41,findings,2020,emnlp,1,0,1,1,,11340000000000,3,91,0.97107005999999996,Efficient Methods for NLP,1
2020.findings-emnlp.410,findings,2020,emnlp,1,0,1,1,,112000000000000,4,1,0.52432738000000001,Interpretability and Analysis of Models for NLP,2
2020.findings-emnlp.412,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,4,21,0.90867856999999996,Information Retrieval and Text Mining,3
2020.findings-emnlp.416,findings,2020,emnlp,1,0,1,1,,11340000000000,6,40,0.94539609000000002,Question Answering,0
2020.findings-emnlp.418,findings,2020,emnlp,1,1,1,2,110000000000000,110000000000000,8,53,0.97305352000000001,Discourse and Pragmatics,3
2020.findings-emnlp.419,findings,2020,emnlp,1,0,1,8,,94080000000000,2,0,0.12354358,Machine Learning for NLP,1
2020.findings-emnlp.42,findings,2020,emnlp,1,0,1,2,,23520000000000,2,3,0.64886281000000001,Machine Learning for NLP,2
2020.findings-emnlp.423,findings,2020,emnlp,1,0,1,,,113800000000000,6,0,0.12775787999999999,Efficient Methods for NLP,2
2020.findings-emnlp.425,findings,2020,emnlp,1,1,1,4,448000000000000,448000000000000,5,132,0.98904053000000003,Language Modeling,4
2020.findings-emnlp.428,findings,2020,emnlp,1,0,1,,,112000000000000,4,13,0.85973595999999997,Summarization,2
2020.findings-emnlp.429,findings,2020,emnlp,1,1,1,1,113800000000000,113800000000000,6,10,0.79752164999999997,Information Extraction,2
2020.findings-emnlp.43,findings,2020,emnlp,1,0,1,1,,6691000000000,2,5,0.75071277000000003,NLP Applications,1
2020.findings-emnlp.432,findings,2020,emnlp,1,1,1,12,448000000000000,448000000000000,6,22,0.89731402999999998,Interpretability and Analysis of Models for NLP,2
2020.findings-emnlp.433,findings,2020,emnlp,1,1,1,4,448000000000000,448000000000000,8,2,0.63609357,Efficient Methods for NLP,1
2020.findings-emnlp.438,findings,2020,emnlp,1,0,1,,,125000000000000,3,164,0.99057605000000004,Semantics: Lexical and Sentence-Level,1
2020.findings-emnlp.441,findings,2020,emnlp,1,0,1,,,112000000000000,8,16,0.89718381999999997,Machine Learning for NLP,2
2020.findings-emnlp.442,findings,2020,emnlp,1,0,1,,,312000000000000,3,3,0.64569516000000005,Generation,1
2020.findings-emnlp.443,findings,2020,emnlp,1,0,1,,,112000000000000,3,6,0.77449703999999997,Generation,1
2020.findings-emnlp.444,findings,2020,emnlp,1,0,1,1,,9526000000000,6,7,0.70758913999999995,Information Extraction,5
2020.findings-emnlp.446,findings,2020,emnlp,1,0,1,4,,45360000000000,3,15,0.84538584999999999,Discourse and Pragmatics,1
2020.findings-emnlp.45,findings,2020,emnlp,1,0,1,16,,152416000000000,3,1,0.52929994999999996,"Syntax: Tagging, Chunking and Parsing",1
2020.findings-emnlp.49,findings,2020,emnlp,1,0,1,,,312000000000000,3,24,0.92438518999999997,Machine Translation,1
2020.findings-emnlp.5,findings,2020,emnlp,1,0,1,1,,6691000000000,2,3,0.65583373,Generation,1
2020.findings-emnlp.52,findings,2020,emnlp,1,1,1,4,448000000000000,448000000000000,5,19,0.88380265999999996,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",1
2020.findings-emnlp.54,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,2,20,0.91829738999999999,Interpretability and Analysis of Models for NLP,1
2020.findings-emnlp.55,findings,2020,emnlp,1,0,1,1,,9526000000000,4,51,0.96391704,Efficient Methods for NLP,1
2020.findings-emnlp.56,findings,2020,emnlp,1,0,1,,,12150000000000,5,12,0.83674667000000003,NLP Applications,2
2020.findings-emnlp.59,findings,2020,emnlp,1,0,1,,,130500000000000,3,4,0.70704659000000003,Interpretability and Analysis of Models for NLP,3
2020.findings-emnlp.6,findings,2020,emnlp,1,1,1,8,896000000000000,896000000000000,5,36,0.93247681000000004,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",5
2020.findings-emnlp.68,findings,2020,emnlp,1,0,1,,,113800000000000,4,52,0.96962727999999998,Dialogue and Interactive Systems,1
2020.findings-emnlp.7,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,9,122,0.98647251000000002,"Ethics, Bias, and Fairness",3
2020.findings-emnlp.70,findings,2020,emnlp,1,0,1,,,11760000000000,7,30,0.94581769000000004,Dialogue and Interactive Systems,3
2020.findings-emnlp.71,findings,2020,emnlp,1,1,1,4,522000000000000,522000000000000,3,23,0.90943516999999996,Information Extraction,2
2020.findings-emnlp.74,findings,2020,emnlp,1,1,1,1,125000000000000,125000000000000,4,12,0.87114413999999996,"Ethics, Bias, and Fairness",1
2020.findings-emnlp.77,findings,2020,emnlp,1,0,1,1,,11340000000000,5,10,0.77434406,Clinical and Biomedical Applications,2
2020.findings-emnlp.79,findings,2020,emnlp,1,1,1,1,113800000000000,113800000000000,6,5,0.77424278999999996,Dialogue and Interactive Systems,2
2020.findings-emnlp.81,findings,2020,emnlp,1,1,1,1,112000000000000,112000000000000,4,21,0.90311565999999999,Dialogue and Interactive Systems,3
2020.findings-emnlp.82,findings,2020,emnlp,1,0,1,4,,26764000000000,5,1,0.55277562000000002,Machine Translation,3
