primary_topic,year_str,n_papers,min_citations,mean_citations,median_citations,max_citations,sparse_cell_lt10,reference_set
Generation,2021,48,0,19.0625,9.0,135,False,primary_topic_x_year
Information Extraction,2021,80,0,38.2625,22.0,252,False,primary_topic_x_year
Information Retrieval and Text Mining,2021,19,0,33.94736842105263,22.0,147,False,primary_topic_x_year
Interpretability and Analysis of Models for NLP,2021,34,0,30.764705882352942,17.0,166,False,primary_topic_x_year
LLM agents,2021,1,2,2.0,2.0,2,True,primary_topic_x_year
Language Modeling,2021,19,1,24.0,14.0,176,False,primary_topic_x_year
"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",2021,1,32,32.0,32.0,32,True,primary_topic_x_year
Machine Learning for NLP,2021,46,0,44.91304347826087,27.0,358,False,primary_topic_x_year
Machine Translation,2021,45,0,20.266666666666666,12.0,103,False,primary_topic_x_year
Multilingualism and Cross-Lingual NLP,2021,41,0,16.4390243902439,8.0,75,False,primary_topic_x_year
"Multimodality and Language Grounding to Vision, Robotics and Beyond",2021,42,0,50.42857142857143,34.0,384,False,primary_topic_x_year
NLP Applications,2021,16,0,13.75,10.0,34,False,primary_topic_x_year
NLP and Code Models,2021,12,4,165.41666666666666,22.0,1189,False,primary_topic_x_year
NLP and Symbolic Reasoning,2021,25,0,30.72,18.0,105,False,primary_topic_x_year
"Phonology, Morphology, and Word Segmentation",2021,4,1,16.25,4.5,55,True,primary_topic_x_year
Question Answering,2021,35,0,23.542857142857144,14.0,136,False,primary_topic_x_year
Resources and Evaluation,2021,2,41,62.5,62.5,84,True,primary_topic_x_year
Semantics: Lexical and Sentence-Level,2021,24,0,17.458333333333332,7.5,130,False,primary_topic_x_year
"Sentiment Analysis, Stylistic Analysis, and Argument Mining",2021,31,0,20.419354838709676,8.0,282,False,primary_topic_x_year
"Speech Recognition, Text-to-Speech and Spoken Language Understanding",2021,10,0,18.9,4.5,83,False,primary_topic_x_year
Summarization,2021,37,0,25.405405405405407,18.0,130,False,primary_topic_x_year
"Syntax: Tagging, Chunking and Parsing",2021,15,0,12.0,10.0,38,False,primary_topic_x_year
Clinical and Biomedical Applications,2022,9,0,41.77777777777778,17.0,271,True,primary_topic_x_year
Computational Social Science and Cultural Analytics,2022,23,0,17.52173913043478,13.0,63,False,primary_topic_x_year
Dialogue and Interactive Systems,2022,53,0,17.547169811320753,8.0,109,False,primary_topic_x_year
Discourse and Pragmatics,2022,13,0,5.615384615384615,4.0,18,False,primary_topic_x_year
Efficient Methods for NLP,2022,57,0,26.07017543859649,8.0,477,False,primary_topic_x_year
"Ethics, Bias, and Fairness",2022,25,0,25.32,16.0,110,False,primary_topic_x_year
Generation,2022,54,0,14.148148148148149,7.0,94,False,primary_topic_x_year
Human-Centered NLP and Human-AI Interaction,2022,5,0,7.0,7.0,17,True,primary_topic_x_year
Information Extraction,2022,69,2,31.405797101449274,18.0,374,False,primary_topic_x_year
Information Retrieval and Text Mining,2022,30,0,38.7,12.0,306,False,primary_topic_x_year
Interpretability and Analysis of Models for NLP,2022,35,0,14.485714285714286,10.0,133,False,primary_topic_x_year
LLM agents,2022,2,0,2.0,2.0,4,True,primary_topic_x_year
Language Modeling,2022,37,0,55.432432432432435,12.0,888,False,primary_topic_x_year
"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",2022,7,4,11.142857142857142,10.0,27,True,primary_topic_x_year
Machine Learning for NLP,2022,44,0,27.022727272727273,7.5,245,False,primary_topic_x_year
Machine Translation,2022,61,0,10.868852459016393,8.0,73,False,primary_topic_x_year
Multilingualism and Cross-Lingual NLP,2022,48,0,20.770833333333332,11.0,130,False,primary_topic_x_year
"Multimodality and Language Grounding to Vision, Robotics and Beyond",2022,56,1,23.482142857142858,12.5,154,False,primary_topic_x_year
NLP Applications,2022,34,0,19.205882352941178,13.5,64,False,primary_topic_x_year
NLP and Code Models,2022,13,0,59.61538461538461,17.0,527,False,primary_topic_x_year
NLP and Symbolic Reasoning,2022,29,0,18.06896551724138,11.0,118,False,primary_topic_x_year
"Phonology, Morphology, and Word Segmentation",2022,3,0,8.333333333333334,6.0,19,True,primary_topic_x_year
Question Answering,2022,51,0,20.470588235294116,11.0,168,False,primary_topic_x_year
Resources and Evaluation,2022,5,3,12.0,14.0,21,True,primary_topic_x_year
Semantics: Lexical and Sentence-Level,2022,22,0,9.454545454545455,7.0,34,False,primary_topic_x_year
"Sentiment Analysis, Stylistic Analysis, and Argument Mining",2022,13,0,32.61538461538461,15.0,195,False,primary_topic_x_year
"Speech Recognition, Text-to-Speech and Spoken Language Understanding",2022,13,0,27.46153846153846,15.0,118,False,primary_topic_x_year
Summarization,2022,55,1,22.927272727272726,14.0,203,False,primary_topic_x_year
"Syntax: Tagging, Chunking and Parsing",2022,10,1,6.4,3.5,29,False,primary_topic_x_year
Clinical and Biomedical Applications,2023,17,0,9.176470588235293,6.0,37,False,primary_topic_x_year
Computational Social Science and Cultural Analytics,2023,48,0,11.375,5.0,62,False,primary_topic_x_year
Dialogue and Interactive Systems,2023,98,0,7.010204081632653,4.0,105,False,primary_topic_x_year
Discourse and Pragmatics,2023,16,0,4.1875,3.5,11,False,primary_topic_x_year
Efficient Methods for NLP,2023,72,0,8.444444444444445,4.5,86,False,primary_topic_x_year
"Ethics, Bias, and Fairness",2023,31,1,14.387096774193548,8.0,117,False,primary_topic_x_year
Generation,2023,56,0,9.946428571428571,4.0,88,False,primary_topic_x_year
Human-Centered NLP and Human-AI Interaction,2023,5,2,19.2,6.0,54,True,primary_topic_x_year
Information Extraction,2023,101,0,12.138613861386139,6.0,138,False,primary_topic_x_year
Information Retrieval and Text Mining,2023,37,0,18.16216216216216,11.0,173,False,primary_topic_x_year
Interpretability and Analysis of Models for NLP,2023,34,0,16.529411764705884,5.5,106,False,primary_topic_x_year
LLM agents,2023,6,1,42.833333333333336,33.5,99,True,primary_topic_x_year
Language Modeling,2023,60,0,18.616666666666667,7.0,442,False,primary_topic_x_year
"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",2023,8,0,3.875,2.0,14,True,primary_topic_x_year
Machine Learning for NLP,2023,47,0,7.297872340425532,6.0,32,False,primary_topic_x_year
Machine Translation,2023,53,0,5.7924528301886795,3.0,28,False,primary_topic_x_year
Multilingualism and Cross-Lingual NLP,2023,46,0,9.804347826086957,4.0,83,False,primary_topic_x_year
"Multimodality and Language Grounding to Vision, Robotics and Beyond",2023,75,0,15.44,9.0,120,False,primary_topic_x_year
NLP Applications,2023,33,0,8.363636363636363,5.0,27,False,primary_topic_x_year
NLP and Code Models,2023,16,2,30.8125,7.0,331,False,primary_topic_x_year
NLP and Symbolic Reasoning,2023,45,0,10.444444444444445,6.0,45,False,primary_topic_x_year
"Phonology, Morphology, and Word Segmentation",2023,10,1,5.9,3.0,20,False,primary_topic_x_year
Question Answering,2023,38,0,11.342105263157896,4.0,216,False,primary_topic_x_year
Resources and Evaluation,2023,9,0,12.444444444444445,8.0,39,True,primary_topic_x_year
Semantics: Lexical and Sentence-Level,2023,24,0,7.375,4.0,51,False,primary_topic_x_year
"Sentiment Analysis, Stylistic Analysis, and Argument Mining",2023,29,0,8.310344827586206,4.0,47,False,primary_topic_x_year
"Speech Recognition, Text-to-Speech and Spoken Language Understanding",2023,17,0,8.941176470588236,4.0,26,False,primary_topic_x_year
Summarization,2023,38,0,6.7368421052631575,4.0,27,False,primary_topic_x_year
"Syntax: Tagging, Chunking and Parsing",2023,9,0,4.222222222222222,2.0,15,True,primary_topic_x_year
Clinical and Biomedical Applications,2024,32,0,7.4375,5.0,34,False,primary_topic_x_year
Computational Social Science and Cultural Analytics,2024,54,0,5.796296296296297,3.0,57,False,primary_topic_x_year
Dialogue and Interactive Systems,2024,64,0,4.25,2.0,31,False,primary_topic_x_year
Discourse and Pragmatics,2024,12,0,2.1666666666666665,1.0,8,False,primary_topic_x_year
Efficient Methods for NLP,2024,121,0,5.801652892561983,3.0,73,False,primary_topic_x_year
"Ethics, Bias, and Fairness",2024,84,0,4.761904761904762,3.0,32,False,primary_topic_x_year
Generation,2024,76,0,5.184210526315789,2.5,43,False,primary_topic_x_year
Human-Centered NLP and Human-AI Interaction,2024,20,0,8.0,3.5,67,False,primary_topic_x_year
Information Extraction,2024,51,0,5.0,2.0,52,False,primary_topic_x_year
Information Retrieval and Text Mining,2024,44,0,6.636363636363637,3.0,71,False,primary_topic_x_year
Interpretability and Analysis of Models for NLP,2024,70,0,3.2285714285714286,2.0,33,False,primary_topic_x_year
LLM agents,2024,46,0,8.326086956521738,4.5,53,False,primary_topic_x_year
Language Modeling,2024,133,0,11.93984962406015,3.0,433,False,primary_topic_x_year
"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",2024,17,0,3.6470588235294117,2.0,14,False,primary_topic_x_year
Machine Learning for NLP,2024,51,0,2.0980392156862746,2.0,10,False,primary_topic_x_year
Machine Translation,2024,38,0,1.868421052631579,1.0,7,False,primary_topic_x_year
Multilingualism and Cross-Lingual NLP,2024,69,0,2.681159420289855,2.0,15,False,primary_topic_x_year
"Multimodality and Language Grounding to Vision, Robotics and Beyond",2024,131,0,8.725190839694656,2.0,251,False,primary_topic_x_year
NLP Applications,2024,50,0,7.5,3.0,111,False,primary_topic_x_year
NLP and Code Models,2024,41,0,8.024390243902438,4.0,34,False,primary_topic_x_year
NLP and Symbolic Reasoning,2024,55,0,4.836363636363636,3.0,27,False,primary_topic_x_year
"Phonology, Morphology, and Word Segmentation",2024,6,0,2.8333333333333335,0.0,13,True,primary_topic_x_year
Question Answering,2024,41,0,8.21951219512195,5.0,122,False,primary_topic_x_year
Resources and Evaluation,2024,24,0,9.666666666666666,4.5,77,False,primary_topic_x_year
Semantics: Lexical and Sentence-Level,2024,22,0,2.5,1.0,22,False,primary_topic_x_year
"Sentiment Analysis, Stylistic Analysis, and Argument Mining",2024,24,0,3.4166666666666665,3.0,8,False,primary_topic_x_year
"Speech Recognition, Text-to-Speech and Spoken Language Understanding",2024,31,0,4.483870967741935,3.0,31,False,primary_topic_x_year
Summarization,2024,26,0,5.115384615384615,2.0,30,False,primary_topic_x_year
"Syntax: Tagging, Chunking and Parsing",2024,7,0,0.2857142857142857,0.0,1,True,primary_topic_x_year
Clinical and Biomedical Applications,2025,57,0,1.0350877192982457,0.0,6,False,primary_topic_x_year
Computational Social Science and Cultural Analytics,2025,101,0,0.4158415841584158,0.0,7,False,primary_topic_x_year
Dialogue and Interactive Systems,2025,81,0,0.7160493827160493,0.0,7,False,primary_topic_x_year
Discourse and Pragmatics,2025,13,0,0.07692307692307693,0.0,1,False,primary_topic_x_year
Efficient Methods for NLP,2025,250,0,1.08,0.0,102,False,primary_topic_x_year
"Ethics, Bias, and Fairness",2025,141,0,0.5815602836879432,0.0,7,False,primary_topic_x_year
Generation,2025,123,0,1.048780487804878,0.0,19,False,primary_topic_x_year
Human-Centered NLP and Human-AI Interaction,2025,34,0,0.7058823529411765,0.0,4,False,primary_topic_x_year
Information Extraction,2025,54,0,0.35185185185185186,0.0,4,False,primary_topic_x_year
Information Retrieval and Text Mining,2025,74,0,0.47297297297297297,0.0,4,False,primary_topic_x_year
Interpretability and Analysis of Models for NLP,2025,137,0,0.48905109489051096,0.0,14,False,primary_topic_x_year
LLM agents,2025,89,0,0.7640449438202247,0.0,8,False,primary_topic_x_year
Language Modeling,2025,188,0,0.7021276595744681,0.0,20,False,primary_topic_x_year
"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",2025,23,0,0.30434782608695654,0.0,2,False,primary_topic_x_year
Machine Learning for NLP,2025,79,0,0.35443037974683544,0.0,4,False,primary_topic_x_year
Machine Translation,2025,38,0,0.34210526315789475,0.0,4,False,primary_topic_x_year
Multilingualism and Cross-Lingual NLP,2025,93,0,0.3548387096774194,0.0,5,False,primary_topic_x_year
"Multimodality and Language Grounding to Vision, Robotics and Beyond",2025,225,0,0.5955555555555555,0.0,11,False,primary_topic_x_year
NLP Applications,2025,85,0,0.6470588235294118,0.0,6,False,primary_topic_x_year
NLP and Code Models,2025,73,0,1.1506849315068493,0.0,8,False,primary_topic_x_year
NLP and Symbolic Reasoning,2025,98,0,0.45918367346938777,0.0,7,False,primary_topic_x_year
"Phonology, Morphology, and Word Segmentation",2025,17,0,0.35294117647058826,0.0,3,False,primary_topic_x_year
Question Answering,2025,48,0,0.5416666666666666,0.0,3,False,primary_topic_x_year
Resources and Evaluation,2025,47,0,0.574468085106383,0.0,6,False,primary_topic_x_year
Semantics: Lexical and Sentence-Level,2025,21,0,0.09523809523809523,0.0,1,False,primary_topic_x_year
"Sentiment Analysis, Stylistic Analysis, and Argument Mining",2025,39,0,0.5128205128205128,0.0,3,False,primary_topic_x_year
"Speech Recognition, Text-to-Speech and Spoken Language Understanding",2025,42,0,1.7380952380952381,1.0,29,False,primary_topic_x_year
Summarization,2025,28,0,0.6785714285714286,0.0,4,False,primary_topic_x_year
"Syntax: Tagging, Chunking and Parsing",2025,6,0,0.3333333333333333,0.0,2,True,primary_topic_x_year
